Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,Director,Assistant Director,Written by,Storyboard by,Guest Starring,Featuring,Also Appearing,Musical Numbers,Original Air Date,Product Code,U.S. Viewers (Millions),TV Rating,Running Time (Minutes),Aspect Ratio,Production Companies,IMDb Rating,Synopsys
18,11,340,Short Cuts,Julius Wu,John Banh,Kirker Butler,"Helen Kim, Eric Sanford, Stephen Wong",Christopher Meloni,"Brian, Lois, Peter","Stewie, Meg, Chris, Cleveland, Quagmire, Joe, Tom Tucker, Mort Goldman, Joanna, Jeremy, Shredder/George Townsend, Sensei Dan, Bentley, Tiny Tom Cruise, The cast of Seinfeld, Golden State Warriors, Fairuza Balk, Annette Bening, Warren Beatty",Jewish Party song,"February 16, 2020",JACX11,1.65,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7,"Brian considers getting neutered after an old friend comes in wealth. Meanwhile, Peter draws the line after Lois gets a haircut that he hates."
18,12,341,Undergrounded,Greg Colton,Young Baek,Mike Desilets,"Francis Dinglasan, Dante Leandado, Ron Smith",None,"Peter, Lois","Chris, Stewie, Meg, Brian, Joe, Quagmire, Cleveland, Donna, Cleveland Brown, Jr., Roberta Tubbs, Rallo Tubbs, Dumb Beaver, Tom Tucker, Chief Diamond Phillips, Charlotte, Kelsey, Gretchen, General Chang, Johnny 5, Sally, Coldplay",None,"February 23, 2020",JACX13,1.57,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7,"After running out of money for a round of drinks, Peter learns that Joe and Cleveland have secret credit cards hidden from their wives, so he gets one himself one only to get caught and ends up getting grounded by Lois. Desperate to get out, he digs a hole out of the house that leads to the Drunken Clam. When a cave-in occurs, trapping Peter, Quagmire, Cleveland, and Joe, Peter's only hope for their freedom is for Brian to sell him out to Lois. Whilst trapped thinking they are about to die, Peter reveals that Lois killed a woman (as mentioned before) but that he chose whom. A flashback to their honeymoon reveals that he chose the waitress who told him the chef would not make a chocolate-chip gumball pizza."
18,13,342,Rich Old Stewie,Brian Iles,Ivaylo Angelov,Chris Sheridan,"Jonathan Gebhart, Bao Nguyen, Michael Rundle",None,"Stewie Griffin, Peter Griffin","Brian, Lois, Meg, Chris, Cleveland, Quagmire, Carter Pewterschmidt, Seamus, Tom Tucker, Tricia Takanawa, Dr. Hartman's son, Herbert, Scooter, Lane Bergen, President Polar Bear",None,"March 1, 2020",JACX12,1.55,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.2,"50 years into the future, Stewie is rich and living in California when Brian brings word that Peter is dying. Traveling back home, they pick up Chris and Meg, who have also gone on with their lives. On arrival, Stewie is appalled at the condition of the house. The family meets Peter, who extracts a promise from Stewie to take care of the family. He rebuilds the house just in time before Peter passes away. But as he heads back home to California to share his money with the family after handing out a round of cigars to celebrate Peter's life, the latter recovers as the whole family shares a laugh over pulling a scam on him. However, he is aware of the ruse and had rigged the gas to stay on, blowing up the house behind him as Chris lights his cigar. As Brian begs him to put him out of his misery, Stewie suddenly realizes he is having a fantasy while trying to pick out a Halloween costume of an old man, having been afraid of growing old but now looking forward to it. After trying it on, he gets his dragging testicles tangled up with Herbert's. At the same shop in closing, Meg has a momentary fantasy of being Evita Perón, before Peter snaps her out of it to make her the back half of a farting horse, which he insists on doing the farting."
18,14,343,The Movement,Joe Vaux,Mark Covell,Maggie Mull,"Helen Kim, Steven K.L. Olson, Stephen Wong","Dan Castellaneta, Kevin Nealon",Peter Griffin,"Lois, Meg, Chris, Brian, Stewie, Joe, Cleveland, Quagmire, Bonnie Swanson, Carter Pewterschmidt, Tom Tucker, Tom Tucker, Sr., Jerome, Homer Simpson, Stan Smith, Roger, Francine Smith, Johnny 'Feedback' Robinson, Luke, John Wilkes 'Photo Booth' Griffin, Joe & Troy, Quahog Whooping Scalpers, Frank 'Cardiac Arrest' Ross, Bill 'Doesn't Know CPR' McGillicuddy, Kenneth & Chuck, Abraham Lincoln, Soup Nazi, George and Louise Jefferson, Jason Alexander, Kevin Nealon","Good Morning, USA","March 8, 2020",JACX15,1.45,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.6,"Peter becomes a coach on Quahog's minor league baseball team. Before one game, he falls to one knee when he is nearly overcome with diarrhea, but everyone assumes he is protesting police violence and makes him the face of racial justice in the U.S. Peter eventually admits that he didn't set out to protest but does care about confronting injustice, and steps down from his promotion to the club's manager--but not before he trades Meg to American Dad!, where she finds that Stan Smith and Roger don't want her there."
18,15,344,Baby Stewie,Jerry Langford,Orlando Gumatay,Artie Johann,"Annemarie Brown, Michael Narren, Eric Sanford",Brett Gelman,"Stewie Griffin, Brian","Peter, Lois, Meg, Chris, Quagmire, Cleveland, Donna, Cleveland Brown, Jr., Roberta Tubbs, Rallo, Joe, Bonnie, Kevin Swanson, Jerome, Rupert, Bozo the Clown, Flat Stanley, James Taylor, Sylvester Stallone, Chris Hemsworth",Graduation (Friends Forever),"March 15, 2020",JACX14,1.68,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.1,"With Quagmire unable to drink due to medication, the guys take their families to an Escape Room with Brian using Stewie to solve the problems then taking credit. Brian later shows Stewie a video showing Chris solving a Rubik's Cube, and explains he was smart as a baby but lost his intelligence when he hit puberty as will Stewie. Stewie creates a machine to alter his DNA to prevent that, but it instead leaves him as an ordinary baby. Unable to cope, Brian tries to undo the process which goes badly wrong like Stewie getting rearranged and turning into a monster. Seeking guidance, Brian tries to watch Splice, but finds Peter has taped over it. Out of options, Brian time-travels back to just before Stewie finished the machine and explains it was a prank by playing Chris's video backwards, showing him eating the Rubik's Cube. As revenge, Stewie orders Brian to drown his future self to fix the timeline."
18,16,345,Start Me Up,John Holmquist,Rick Del Carmen,Daniel Peck,"Rob Bou-Saab, Michael Rundle, Brinson Thieme",None,"Chris, Stewie, Brian","Peter, Lois, Meg, Bonnie, Seamus Levine, Bruce, Jerome, Mort Goldman, Carl, Tom Tucker, Bert, Principal Shepherd, Consuela, Candy, Oscar, Barbara, Bailiff Clarence, Snack Cart Steve, Boo & Yay Radley, Indiana Jones, Barney Fife, Jesse Eisenberg, Emma Stone, Al Pacino, Robert Duvall, Robert De Niro, Fred Gwynne, Zach Braff, Alex Honnold",None,"April 19, 2020",JACX16,1.58,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.4,"When Stewie and Chris accompany Brian returning a keyboard to an electronics store, they end up destroying the place and leaving Brian with the bill. Inspired by Zach Braff, they decide to launch a kickstarter for a film, then balk and use the money to pay the bill. Unfortunately, a series of blunders results in them raising $1.5 million, forcing them to actually make the film. Meanwhile, due to Peter sweating in a room without air conditioning, his bosses tell him to work from home, causing Lois to become irritated even more."
18,17,346,Coma Guy,Steve Robertson,Steven K.L. Olson,Patrick Meighan,"Won Ki Cho, Francis Dinglasan, Bao Nguyen",None,Peter Griffin,"Lois, Brian, Meg, Stewie, Chris, Joe, Bonnie, Quagmire, Cleveland, Donna, Judge Dignified Q. Blackman, Ernie the Giant Chicken, Elmer Hartman, Dr. Gravitas, Joanna, Kool-Aid Man, Reginald, Diane Simmons, Vern and Johnny, Mayor Adam West, Jonathan Weed, Angela, Thelma Griffin, Francis Griffin, Horace, Stephanie, Loretta Brown, Muriel Goldman, Big Fat Paulie, Charles Yamamoto, Dr. Cecil Pritchfield, Jeremy, Mrs. Lapardo, Mrs. Wilson, Nancy the Postal Lady, Pearl Burton, Cassandra, Hammer, Paddy Tanniger, Joan Quagmire, Franz Gutentag, Doris Billingsly, Ross Fishman, Michael Pulaski, Brenda Quagmire, Fire Captain Beckman, Jess Schlotz, Derek Wilcox, Prince Faisal, Vanessa Griffin, Nigel Pinchley, Ms. Hobson, Homer Simpson, Madonna, Joaquin Phoenix, Woodrow Wilson, Timothy Olyphant",Painting the Walls,"April 26, 2020",JACX07,1.54,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7,"Peter is ordered by Lois to read a book after his failure to read affects her party. After accidentally being given Van Halen's album 1984 instead of Orwell's 1984, Peter becomes addicted to their music. When he races Ernie the Giant Chicken, he is distracted by a squirrel and crashes, ending up in a coma. Dr. Hartman tells Lois that Peter is brain-dead and gives her the option of turning off his life support. Inside his coma, Peter goes through a series of odd dreams and hallucinations before ending up on a cruise ship full of dead characters. When he discovers the ship has no Wi-Fi, Peter quickly escapes the ship and comes out of his coma, awakening to Lois holding the plug to his life support in her hand, destroying his trust in her. But he decides to get over it and the family is back together by the end of the story."
18,18,347,Better Off Meg,Anthony Agrusa,"Helen Kim, Orlando Gumatay",Emily Towers,"Mia Hyemin Kim, Dante Leandado, Eric Sanford, Ron Smith",None,Meg Griffin,"Peter, Lois, Chris, Stewie, Brian, Joe, Bonnie, Bruce, Principal Shepherd, Tom Tucker, Mayor Adam West, Kool-Aid Man, Kent & Bradley, John Mayer, French Stewart","Theme from ""Meg""","May 3, 2020",JACX17,1.39,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7,"When she doesn't realize that it's Cut Classes Day at the school and finds her family has taken a barrel wearing a Meg hat with them for a day of fun, Meg spends her birthday bowling alone. When Bruce gives her driving license to the wrong person, she is incorrectly reported as dead and discovers no one really cares that she is ""gone"". Meg decides to start a new life under the name Natalee Hallway. Later she wants to return and reveals the truth to Chris, but Chris has reasons to keep her off-stage."
18,19,348,Holly Bibble,Julius Wu,John Banh,Cherry Chevapravatdumrong,"Rob Bou-Saab, Annemarie Brown, Michael Rundle",Edie McClurg,"Peter Griffin as Self and Adam and Noah and Jesus, Lois Griffin as Self and Eve and Noah's wife and Mary Magdalene, Quagmire as Serpent and apostle, Meg as Self and Noah's children and photographer, Chris as Self and Noah's children, Stewie as Self and centurion, Brian as Self and Judas Iscariot, Cleveland as Self (voice) and Noah's neighbor and apostle, Tom Tucker as Self and apostle","Joe, Seamus, Herbert, Ernie the Giant Chicken, Bruce, Elmer Hartman, Opie, Principal Shepherd, Carter Pewterschmidt, Mort Goldman, Ed Christ, God, Christian Bale, Edie McClurg",None,"May 10, 2020",JACX01,1.29,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.6,"Staying at a motel during a hurricane, the Griffin family pass the time by reading the in-room bible and telling 3 stories: Adam & Eve, Noah's Ark, and The Last Supper."
18,20,349,Movin' In (Principal Shepherd's Song),Joseph Lee,Wincat Alcala,Danny Smith,"Jonathan Gebhart, Michael Narren, Stephen Wong",None,Principal Shepherd,"Chris, Stewie, Brian, Peter, Lois, Meg, Joe Swanson, Doug, Elmer Hartman, Christopher Walken",None,"May 17, 2020",JACX18,1.51,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7,"Principal Shepherd fat-shames Chris to the entire school after mistaking the loudspeaker microphone for an Alexa, and when Lois calls for action the School Board fires him. Discovering him living in his car, Lois and Peter invite him to stay with them, but he soon begins to make himself at home too well."
19,1,350,Stewie's First Word,Mike Kim,Max Martinez,Patrick Meighan,"Francis Dinglasan, Dante Leandado, Brinson Thieme",None,"Stewie Griffin, Lois Griffin","Peter, Meg, Chris, Brian, Joe, Bonnie, Quagmire, Cleveland, Donna, Cleveland Brown, Jr., Susie Swanson, Principal Shepherd, Roger, Trey Headband, Henry Spencer, Buzz McCallister, Caillou, Caillou's Dad, Kim Kardashian",None,"September 27, 2020",JACX19,1.86,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.7,"While at church, when Stewie learns that the Wi-Fi is bad and they are not giving out cookies, he drops an F-bomb, which everyone at church somehow hears, causing Lois to be shunned by the entire town. Brian and Stewie begin to consider it had to do with him shouting his true feelings. Wondering where Stewie could have heard what she believes is his first word, Lois initially suspects television, but Brian points out that all Stewie watches now is Caillou, which she learns has no bad language, just odd dialogue. She then guesses Peter to be the source of Stewie swearing, and waxes the stairs for him to fall (again), though Peter only shouts proper terms as he has been hanging out with Caillou's beta dad. When Lois eventually discovers herself to be the root of Stewie's profanity, she goes to a rehabilitation facility, where she gets scolded for using the F-word as her meditation mantra, and decides to accept her swearing habits and states she is fine with how she is. Meanwhile, Peter tries to bond with Stewie but ends up getting drunk on Lois' frozen booze and pelting him with rocks using the lawnmower. When Lois returns home, Stewie says ""Mommy!"" — which Lois unsuccessfully attempts to catch on video a few times. Brian thinks Stewie is finally over his desire to kill Lois, but Stewie tells him that it was a trick."
19,2,351,The Talented Mr. Stewie,Greg Colton,Young Baek,Gary Janetti,"Bao Nguyen, Eric Sanford, Ron Smith",None,Stewie Griffin,"Peter, Lois, Meg, Chris, Brian, Rupert, Bruce, Dr. Hartman, Peaches & Cream, Anton, Rupert the Giraffe, Annabelle, Deepak Chopra Winfrey, Susie Myerson, The cast of The Marvelous Mrs. Maisel, Michelle Obama",None,"October 4, 2020",JACX20,1.36,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.3,"Stewie dumps Rupert when he learns he used to belong to Chris. He tries to get revenge by getting a new teddy bear and then a toy giraffe, but neither helps him feel better. After taking a spiritual journey, Stewie concludes he must kill Chris and Rupert. Stewie lures Chris to a lake house he rented and knocks him out. He fights Chris in the rowboat while discussing The Talented Mr. Ripley and that it is not an Alfred Hitchcock film. Stewie knocks Chris out and into the water. Using the nanny cam he put in Rupert earlier to keep an eye on him and Chris, Stewie learns Chris was going to give him back. After a few unsuccessful tries, Stewie manages to save Chris. As the latter recovers in the hospital, they agree to never reveal what happened."
19,3,352,Boys & Squirrels,Joe Vaux,Mark Covell,Steve Callaghan,"Jonathan Gebhart, Michael Rundle, Ron Smith",None,"Peter, Chris, Stewie","Lois, Meg, Brian, Quagmire, Joe, Cleveland, Elmer Hartman, Bruce, Consuela, Rupert, Herbert, Groot, Rocky, Tommy Lee Jones, Dennis Quaid, Willem Dafoe",None,"October 11, 2020",KACX02,1.48,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",5.8,"Peter chops down a tree with a chainsaw, leaving a young squirrel orphaned, which Chris and Stewie decide to raise together. Peter goes to Dr. Hartman and gets chiropractic therapy, making him taller. Depressed, he seeks Lois' help and she can shrink him by verbally abusing him. Meanwhile, after Chris and Stewie's squirrel recovers, they try to shoot a video of its first steps, only for Brian to snatch and maul it to death. After the funeral, Chris starts to pack the squirrel's things away but this triggers an argument and blame game between him and Stewie. They end up going for counseling with Bruce and working out most of their issues. At Christmas, Stewie retrieves the mail and finds a Christmas card that they had sent with their picture with the squirrel, causing him to break down in tears."
19,4,353,Cutawayland,Brian Iles,Ivaylo Angelov,Patrick Meighan,"Francis Dinglasan, Michael Narren, Stephen Wong",None,"Peter, Lois","Meg, Chris, Stewie, Brian, Joe, Principal Shepherd, Pac-Man, Wreck-It Ralph, Glenn Frey, Tom Brady, Charlton Heston, Robert Loggia, Robert Kraft","You Have AIDS, Joe Is on a Vacation","November 1, 2020[g]",KACX01,1.83,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.3,"While spending a day on the beach with their children, Lois and Peter try to find a secluded spot to have sex but keep getting interrupted by the children. At home, when Brian and the kids annoy them again, the two yell at them and do a cutaway joke simultaneously, causing them to be sent into the cutaway. They soon understand they have been teleported to an alternate universe where all the show's cutaways reside and new ones are made, which Lois dubs ""Cutawayland"". They also learn it takes two people to send them to Cutawayland and one person to move them around cutaways by creating one or mentioning a previous one. While Brian and the kids call Joe to find Peter and Lois, the two enjoy their time in Cutawayland, until the latter decides she wants to return to their family and persuades Peter to do the same. However, they instead cause the rest of the family to be teleported into Cutawayland as well. Unable to return home or change cutaways, Peter calls Joe for help. Joe does some research online and discovers that, to return home, they must go back to the very first cutaway of the show and kill Adolf Hitler. Meg decapitates him, allowing them to return home. It is revealed that Peter fell asleep while at the beach and the entire adventure was a dream."
19,5,354,La Famiglia Guy,John Holmquist,Rick Del Carmen,Alex Carter,"Annemarie Brown, Helen Kim, Eric Sanford",Rick Dees,Peter,"Lois, Chris, Meg, Stewie, Brian, Quagmire, Joe, Bonnie, Susie Swanson, Kevin, Cleveland, Bruce, Doug, Mort Goldman, Al Harrington, God, Vincenzo, Tammy, Rick Blaine, Donald Duck, Donkey Kong, Don Amnesia, Don De-Don-Don, Don-Don-Don, Don Omatopoeia, The Land Don Under, Don Imus",None,"November 8, 2020",KACX03,1.52,TV-PG,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.9,"The Griffins attend Susie's christening at an Italian restaurant, during which Joe asks Peter to be Susie's godfather. Mistaking the term for the title used by the Mafia, Peter begins acting like a Don and scares the restaurant staff, who give him everything he wants. He later recruits Joe, Quagmire, and Cleveland into his crew, and together they operate various rackets in Quahog, until running afoul of the real Mafia. Meanwhile, Chris, who has been sent by Peter to Italy, finds love and tries to start a new life, only for his wife to die in a car bombing after Peter tries to call Chris to tell him the Mafia might go after him separately. To take down the Mafia bosses, Joe devises a plan to have Peter wear a wire while attending a meeting with them in Quahog, but he blows his cover when the Dons suggest going out for karaoke. Peter is saved when Joe and his men storm the meeting to apprehend everyone in attendance. One of the Dons takes Peter and Joe hostage, but they are rescued by a jar of Prego spaghetti sauce. As the Griffins return to their normal life, Brian, who has endured three Mafia movie-style deaths during the episode for annoying different family members, admits to drinking Lois' last bottle of wine. While the two have a walk in the woods, Lois tells Brian that she does not watch Mafia movies, and kills him in a Fargo-inspired fashion by throwing him into a wood chipper."
19,6,355,Meg's Wedding,Steve Robertson,Steven K.L. Olson,Mike Desilets,"Won Ki Cho, Mia Hyemin Kim, Bao Nguyen",None,Meg Griffin,"Lois, Peter, Stewie, Brian, Chris, Quagmire, Cleveland, Donna, Joe, Bonnie, Carter, Babs, Dr. Hartman, Esther, Ruth, Patty, Bruce, Jeffrey, Kool-Aid Man, The Great Sebastian, Susan Davis, Phil & Candy Straight, Shropnik Family, Nick ""Goose"" Bradshaw, Pat Sajak",None,"November 15, 2020",KACX05,1.79,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.5,"Unable to secure a date for a school dance, Meg instead hangs out at the bowling alley with her friend and shoe rental guy Bruce. They quickly build up a relationship, but Lois is concerned that Bruce, who has always been shown to be attracted to men, does not love her, and tries to convince Meg to break up with him. Under pressure from his parents, Bruce later proposes to Meg, who accepts. At Bruce and Meg's wedding, Lois finally decides to accept their relationship, but Meg realizes Bruce is gay and that he is not happy, and encourages him to reveal his homosexuality to his parents. Bruce then proposes to his boyfriend Jeffrey, and the two get married with Peter officiating after the priest refused to do so."
19,7,356,Wild Wild West,Jerry Langford,Orlando Gumatay,Kirker Butler,"Rob Bou-Saab, Dante Leandado, Brinson Thieme",Sam Elliott,"Peter Griffin, Wild West","Lois, Meg, Chris, Stewie, Brian, Quagmire, Joe, Bonnie, Cleveland, Donna, Principal Shepherd, Elle Hitler, Bruce, Ida Davis, Jerome, Mort Goldman, Tom Tucker. Dumb Beaver, Eddie the Live Studio Ostrich, Adrien Beaky, 'Til Death, Fluffy, Evil Monkey, Billy Finn, Bat Damon, Allison Janney, Jumpy, Bernie the Hamster, Bingo the Dingo, Edgar, Raj, Sheldon, Jimmy, Harold, Principessa, S&M cow, Xerxes, Cinnamon, Steven, Ernie the Giant Chicken, Morgan Freeman",Blue Shadows On The Trail,"November 22, 2020",KACX08,1.68,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",7,"Since the death of Mayor Adam West, Quahog has been left in rough shape. Concluding the city needs a new mayor, Lois chooses a librarian named Elle Hitler to run for office. Upset Lois would choose a third-tier character, Peter tries to persuade West's cousin, the rugged cowboy Wild West (voiced by Sam Elliott[16]) from a cigar commercial, to do the same. While West initially declines, he arrives in Quahog on the day of the nomination and accepts Peter's offer. Lois is irritated that Peter only approached West to become mayor because he is a man, so to make amends, Peter takes her to spend a few days with him and West at the latter's mustache farm. To Peter's joy, this ends up working, but while having sex with her later, Lois calls out West's name. As revenge, Peter unsuccessfully tries to sabotage West to make him lose the election. While trying to frame West for vandalizing the library, Peter accidentally sets it on fire, leaving Elle trapped inside, but West rescues her using his levitation powers (which he previously mentioned having, but no one believed him since he never demonstrated). After winning the election with a very low turnout, West makes amends with Peter by gifting him a basket of baby mustaches and ends the episode with a song alongside the Griffins, Peter's friends, and various animals from the show thus far."
19,8,357,Pawtucket Pat,Julius Wu,John Banh,Alex Carter,"Francis Dinglasan, Paul Nam, Michael Rundle, Ron Smith",Lou Diamond Phillips,Brian,"Peter, Lois, Meg, Chris, Stewie, Joe, Cleveland, Quagmire, Rupert, Holden Caulfield, Tom Tucker, Jerome, Pawtucket Pat, Oscar the Grouch, Horton, The Who, Richard Kiel, Catherine the Great, Roger Williams, Kid Rock, Adult Rock, Al Pacino, Robert Woodward",None,"December 6, 2020",KACX07,1.43,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",5.9,"Brian gets a job at a news website called the Hog. After writing various articles, he does some research about Quahog's town hero and brewery founder Pawtucket Pat. He finds his diary, which reveals that his famous beer recipe was stolen from the Narragansett tribe, whom he killed to keep the secret. Once Brian publishes his findings, a protest is held to determine the fate of Pawtucket Pat's statue. Numerous townspeople, including Peter, want to keep it, so a frustrated Brian, who wants it removed and cannot get support to do so, decides to take matters into his own hands. Alongside Stewie, he tries to tow it away but ends up ripping his car in half. Despite this setback, his actions have the desired result, as the statue falls into a river. The following day, while Stewie fears that he and Brian might go to jail and has trouble keeping the secret, the two opposing forces meet near the statue's original location and prepare to clash, but are stopped by the Indians where their leader (Lou Diamond Phillips) states that they are upset that no one asked for their opinion on their entire ordeal and make them aware that there are bigger issues at hand than just the statue. The two sides eventually make peace as the statue is recovered from the river and put on display at the museum, where no one will likely see it ever again."
19,9,358,The First No L,Joseph Lee,Wincat Alcala,Damien Fahey,"Jonathan Gebhart, Michael Narren, Stephen Wong",None,Lois Griffin,"Peter, Meg, Chris, Stewie, Brian, Quagmire, Mort, Stella, Greased-up Deaf Guy, Tom Tucker, Dr. Hartman, Emilio, Matt Lauer, Hoda Kotb, Savannah Guthrie, Charlie Rose, Gayle King, Norah O'Donnell, Tony Bennett, Willie Nelson, Tig Notaro, Tim Allen, Dan Aykroyd, Cheech Marin, Lyndon Smith, Jamie Lee Curtis",None,"December 13, 2020",KACX06,1.84,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",7,"Lois tells the family that, unlike usual Christmases, they will be helping with the Christmas shopping while she gets everything else ready. They end up at the strip mall because Peter did not fill up the gas tank and fails to get anything, much to Lois' anger. Peter rushes out the door and jumps in the car to get presents and a tree, but falls asleep and dreams he bought a tree and saved their Christmas. A furious Lois leaves, claiming she needs to spend Christmas with her cousin in Cabo. The rest of the family decide to try and save Christmas in her absence, but find it harder than they thought, while Lois secretly spies on them from a nearby motel. After much struggle, Peter manages to decorate the roof in a fit of rage, giving the family hope. A jealous Lois breaks into the house on Christmas Eve to steal the presents and tree in the style of How the Grinch Stole Christmas!, leaving the Griffins saddened when they wake up to no presents the following morning. When Lois ""returns from Mexico"", the family gifts her a long heartfelt note about how much they care about her, and a poorly made bowl they crafted together. Touched by the presents, Lois hugs and thanks to her family as her heart grows three times in size (again reminiscent of the Grinch), landing her in the hospital, and does not reveal she stole the gifts."
19,10,359,Fecal Matters,Mike Kim & Dominic Bianchi,Max Martinez,Artie Johann,"Rob Bou-Saab, Steven K.L. Olson, Brinson Thieme",None,Peter Griffin,"Brian, Lois, Meg, Chris, Stewie, Quagmire, Tom Tucker, Mrs. Tucker, Ernie the Giant Chicken, Nicole, Elmer Hartman, Sadie, John Candy",None,"January 17, 2021",JACX09,3.22,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",7.3,"Peter volunteers as a nurse in the hospital when he is the only Griffin to not catch the flu during an outbreak. He is confronted by a moral dilemma when he learns that his longtime enemy, Ernie the Giant Chicken, is on his deathbed after refusing to take the vaccine for ""chicken cancer"", which also caused his wife to leave him for a bigger rooster. Peter eventually decides to save him, not wanting to take full responsibility for the destruction caused by their many fights and believing that having a nemesis makes his own life more exciting. Meanwhile, Brian takes a 23andMe test and learns that he is 1% cat, making him question his lifestyle. After Brian gets severely injured in a failed attempt to land on his feet trying to prove his claim to Quagmire, Stewie assures Brian that his genetic makeup does not matter, as long as others appreciate him for who he is."
19,11,360,Boy's Best Friend,Mike Kim,Max Martinez,Steve Callaghan,"Helen Kim, Mia Hyemin Kim, Eric Sanford",None,Brian,"Stewie, Meg, Chris, Lois, Peter, Joe, Quagmire, Cleveland, Herbert, Holly & Kyle, Cliff, Oscar the Grouch",None,"February 21, 2021[h]",KACX09,1.31,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.8,"Brian begins dating a shoe store clerk named Holly and bonds with her young son Kyle as he helps him build a pinewood car for an upcoming derby. However, Holly eventually breaks up with Brian to date other people, meaning that he and Kyle cannot see each other anymore. After encouragement from Stewie, Brian decides to attend the derby, but arrives too late and finds that Kyle has finished next to last. Still, he and Holly are grateful Brian made an effort to show up, and Holly allows Brian and Kyle to continue being friends. Later, Brian agrees to babysit Kyle while Holly goes out on a date. Meanwhile, Joe inherits a classic sports car from his late uncle, who also leaves him strict instructions that he did not drive it. When Peter, Quagmire, and Cleveland get annoyed that the car is going to waste, they decide to take it out for a drive themselves, only for Peter to end up crashing it. He tries to fix the car, but only damages it further, and is eventually forced to tell Joe the truth. Joe forgives Peter, admitting that he is relieved the car is gone because it required constant care, and the guys decide to take Joe for a drive in the remains of the car by working the pedals for him."
19,12,361,And Then There's Fraud,Brian Iles,Ivaylo Angelov,Kevin Biggins,"Annemarie Brown, Francis Dinglasan, Michael Narren",Patrick Stump,"Peter, Chris","Stewie, Meg, Lois, Brian, Quagmire, Joe, Cleveland, Elmer Hartman, Tyler, Holden, Xander Bogaerts, James P. Sullivan, Sully Sullenberger, Kenny Rogers, The Hudson Brothers, Ted Zeigler, Billy Van, Peter Cullen, Murray Langston, Freeman King, Avril Chown, The Bear, Rod Hull and Emu, Tommy Tutone",None,"February 28, 2021",KACX10,1.45,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.1,"After attending a baseball game and accidentally selling a baseball to a fan, Peter and Chris are inspired to sell fake sports memorabilia. This works until they sell a fake hat that Quagmire thought was worn by Sully Sullenberger. Meanwhile, Stewie gets extensive plastic surgery to make himself look younger after a museum ticket taker mistakes him for a three-year-old. A rebellious Meg is forced to wear an ankle bracelet and remain close to her family members. She later cuts off her foot to escape the excessive supervision and goes into hiding."
19,13,362,Peterminator,Joe Vaux,Mark Covell,Mark Hentemann,"Rob Bou-Saab, Jonathan Gebhart, Bao Trinh, Stephen Wong",None,"Stewie, Brian","Peter, Lois, Meg, Chris, Joe, Cleveland, Quagmire, Ernie the Giant Chicken, John Herbert, Stewie I'Like, Mario Lopez, Tilda Swinton, Terminator Peter, Terminator Brian, Terminator Stewie, Terminator Lois, Terminator Tom Tucker, Terminator Consuela, Terminator Cleveland, Terminator Dr. Hartman, Terminator Eddie the Live Studio Ostrich, Terminator Seamus",None,"March 7, 2021",KACX12,1.15,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",7.9,"Vowing revenge on Lois after she forces him to eat broccoli, Stewie plans to build a Terminator-Esque robot modeled after Peter, but quickly scraps the blueprints when he realizes that the technology is too advanced. Nonetheless, a robot resembling his design shows up from the future and tries to kill Stewie. After he and Brian incapacitate it, the duo decide to head into the future using a portal gun with Stewie noting that Rick and Morty borrowed some of their material. There, they learn that the PeTerminator was reprogrammed by the future Brian after an Instagram comment destroyed their friendship. Retreating to the present, Stewie and Brian are hounded by a scourge of other robots resembling numerous Family Guy characters but can stop the takeover by kissing, solidifying their friendship."
